"","Season","Age","Tm","Lg","Pos","G","MP","PER","TSPerc","3PAr","FTr","ORBPerc","DRBPerc","TRBPerc","ASTPerc","STLPerc","BLKPerc","TOVPerc","USGPerc","OWS","DWS","WS","WSPer48","OBPM","DBPM","BPM","VORP","PlayerName","DraftYear","DraftPos"
"1","2021-22",20,"DET","NBA","SG",64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,"Cade Cunningham","2021",1
"2","Career",NA,"","NBA","",64,2088,13.1,0.504,0.352,0.163,2.9,16.2,9.2,29.1,1.8,1.9,17.5,27.5,-2.4,1.9,-0.5,-0.011,-1.1,-0.5,-1.6,0.2,"Cade Cunningham","2021",1
"3","2021-22",19,"HOU","NBA","SG",67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,"Jalen Green","2021",2
"4","Career",NA,"","NBA","",67,2138,12.5,0.547,0.48,0.247,1.7,10,5.8,13.1,1,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,"Jalen Green","2021",2
"5","2021-22",20,"CLE","NBA","PF",69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,"Evan Mobley","2021",3
"6","Career",NA,"","NBA","",69,2331,16.1,0.549,0.111,0.304,6.9,19.8,13.5,11.6,1.2,4.4,12.4,20.4,1.5,3.7,5.2,0.107,-0.9,1.5,0.6,1.5,"Evan Mobley","2021",3
"7","2021-22",20,"TOR","NBA","PF",74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,"Scottie Barnes","2021",4
"8","Career",NA,"","NBA","",74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,3.7,2.9,6.6,0.122,0.5,0.4,0.9,1.9,"Scottie Barnes","2021",4
"9","2021-22",20,"ORL","NBA","PG",48,1307,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,"Jalen Suggs","2021",5
"10","Career",NA,"","NBA","",48,1307,8.6,0.455,0.358,0.297,2.1,11.7,6.9,24.9,2.2,1.3,18.7,25.3,-3,1.3,-1.6,-0.06,-5.3,-0.2,-5.6,-1.2,"Jalen Suggs","2021",5
"11","2021-22",19,"OKC","NBA","SF",54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,"Josh Giddey","2021",6
"12","Career",NA,"","NBA","",54,1700,13.3,0.478,0.318,0.118,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,0.4,0.01,-1.2,0.3,-0.9,0.5,"Josh Giddey","2021",6
"13","2021-22",19,"GSW","NBA","SF",70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,"Jonathan Kuminga","2021",7
"14","Career",NA,"","NBA","",70,1185,15.2,0.6,0.324,0.413,5.1,16.1,10.8,8.4,1.3,1.8,12,22.7,1.3,1.8,3,0.123,-1.3,-0.2,-1.5,0.1,"Jonathan Kuminga","2021",7
"15","2021-22",20,"ORL","NBA","SF",79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,2.1,1.9,4,0.079,-0.4,-0.3,-0.7,0.8,"Franz Wagner","2021",8
"16","Career",NA,"","NBA","",79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10,21.2,2.1,1.9,4,0.079,-0.4,-0.3,-0.7,0.8,"Franz Wagner","2021",8
"17","2021-22",23,"SAC","NBA","PG",75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,"Davion Mitchell","2021",9
"18","Career",NA,"","NBA","",75,2076,10.8,0.489,0.38,0.101,1.7,7,4.4,22.5,1.3,1,11.5,20.6,-0.5,0.6,0.1,0.003,-2.1,-1.7,-3.8,-0.9,"Davion Mitchell","2021",9
"19","2021-22",20,"MEM","NBA","SF",62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,1.1,1.1,2.2,0.08,-2.4,-0.6,-3,-0.3,"Ziaire Williams","2021",10
"20","Career",NA,"","NBA","",62,1346,9.7,0.559,0.571,0.13,2,8.2,5,6.3,1.2,0.8,8.4,14.9,1.1,1.1,2.2,0.08,-2.4,-0.6,-3,-0.3,"Ziaire Williams","2021",10
"21","2021-22",21,"CHO","NBA","SG",31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0,0.001,-3.4,-3.7,-7.1,-0.4,"James Bouknight","2021",11
"22","Career",NA,"","NBA","",31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,-0.1,0.1,0,0.001,-3.4,-3.7,-7.1,-0.4,"James Bouknight","2021",11
"23","2021-22",19,"SAS","NBA","SF",50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,"Joshua Primo","2021",12
"24","Career",NA,"","NBA","",50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1,2,16.1,15.4,-0.6,0.6,0,0.001,-3.8,-1.1,-5,-0.7,"Joshua Primo","2021",12
"25","2021-22",24,"IND","NBA","SG",55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,"Chris Duarte","2021",13
"26","Career",NA,"","NBA","",55,1541,12.3,0.537,0.411,0.18,2.9,13.6,8.2,10.9,1.8,0.6,11.8,21.1,0.2,0.7,0.9,0.029,-1.2,-1.1,-2.3,-0.1,"Chris Duarte","2021",13
"27","2021-22",19,"GSW","NBA","SG",52,607,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,"Moses Moody","2021",14
"28","Career",NA,"","NBA","",52,607,10.5,0.573,0.601,0.197,3.2,11,7.2,5.3,0.6,1.6,6.1,15.2,0.6,0.7,1.3,0.101,-1.4,-1.1,-2.5,-0.1,"Moses Moody","2021",14
"29","2021-22",22,"WAS","NBA","SF",77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,"Corey Kispert","2021",15
"30","Career",NA,"","NBA","",77,1801,10.9,0.586,0.623,0.121,3.3,9.4,6.4,6.7,1,1,8.5,14.6,1.6,0.7,2.3,0.061,-0.8,-1.5,-2.3,-0.1,"Corey Kispert","2021",15
"31","2021-22",19,"HOU","NBA","C",72,1489,16,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,"Alperen Şengün","2021",16
"32","Career",NA,"","NBA","",72,1489,16,0.552,0.223,0.442,10.1,18.9,14.5,19.1,1.9,4.1,18.8,22,0.8,1.3,2.1,0.068,-1.6,0.6,-1,0.4,"Alperen Şengün","2021",16
"33","2021-22",21,"NOP","NBA","SF",62,864,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,1.3,0.6,1.9,0.104,0.2,-1.4,-1.2,0.2,"Trey Murphy III","2021",17
"34","Career",NA,"","NBA","",62,864,12.5,0.558,0.671,0.184,5.9,13.1,9.4,6.2,1.3,0.8,5.1,15.7,1.3,0.6,1.9,0.104,0.2,-1.4,-1.2,0.2,"Trey Murphy III","2021",17
"35","2021-22",20,"OKC","NBA","PG",60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,"Tre Mann","2021",18
"36","Career",NA,"","NBA","",60,1367,10.2,0.501,0.463,0.139,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22,-1,1,0.1,0.002,-3.3,-1.1,-4.4,-0.8,"Tre Mann","2021",18
"37","2021-22",21,"CHO","NBA","C",21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,"Kai Jones","2021",19
"38","Career",NA,"","NBA","",21,63,9.2,0.628,0.143,0.571,5,13.7,9.2,8.6,0.8,3,25.5,15.9,0,0,0,0.009,-5.2,-1.4,-6.6,-0.1,"Kai Jones","2021",19
"39","2021-22",20,"ATL","NBA","PF",22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,"Jalen Johnson","2021",20
"40","Career",NA,"","NBA","",22,120,11.3,0.59,0.317,0.171,1.8,21.8,11.9,3.7,1.2,1.5,17,19.3,-0.1,0.1,0,0.013,-3.9,-1.1,-4.9,-0.1,"Jalen Johnson","2021",20
"41","2021-22",19,"TOT","NBA","SG",37,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,"Keon Johnson","2021",21
"42","2021-22",19,"LAC","NBA","SG",15,135,9.4,0.44,0.216,0.412,4.8,11.4,8.2,13.7,2.5,1.3,10.4,21.9,-0.1,0.2,0.1,0.018,-6,0.3,-5.7,-0.1,"Keon Johnson","2021",21
"43","2021-22",19,"POR","NBA","SG",22,562,8.5,0.457,0.403,0.136,3.4,8.5,5.9,17,1.8,1.8,14.3,21.1,-0.7,0.2,-0.5,-0.043,-3.5,-2.5,-6,-0.6,"Keon Johnson","2021",21
"44","Career",NA,"","NBA","",37,697,8.7,0.453,0.368,0.188,3.7,9.1,6.3,16.3,2,1.7,13.5,21.2,-0.8,0.4,-0.5,-0.031,-4,-2,-5.9,-0.7,"Keon Johnson","2021",21
"45","1 season",NA,"POR","NBA","",22,562,8.5,0.457,0.403,0.136,3.4,8.5,5.9,17,1.8,1.8,14.3,21.1,-0.7,0.2,-0.5,-0.043,-3.5,-2.5,-6,-0.6,"Keon Johnson","2021",21
"46","1 season",NA,"LAC","NBA","",15,135,9.4,0.44,0.216,0.412,4.8,11.4,8.2,13.7,2.5,1.3,10.4,21.9,-0.1,0.2,0.1,0.018,-6,0.3,-5.7,-0.1,"Keon Johnson","2021",21
"47","2021-22",20,"IND","NBA","PF",36,541,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0.1,-1.5,0.1,"Isaiah Jackson","2021",22
"48","Career",NA,"","NBA","",36,541,20.5,0.607,0.078,0.427,12.2,18.7,15.4,2.9,2.3,8.4,14,22.5,0.7,0.7,1.4,0.126,-1.6,0.1,-1.5,0.1,"Isaiah Jackson","2021",22
"49","2021-22",19,"HOU","NBA","PF",24,239,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2,4.1,11.3,9.4,0.2,0.3,0.5,0.105,-1.8,0.9,-0.9,0.1,"Usman Garuba","2021",23
"50","Career",NA,"","NBA","",24,239,12.9,0.51,0.455,0.159,9.6,28.7,19.1,9.6,2,4.1,11.3,9.4,0.2,0.3,0.5,0.105,-1.8,0.9,-0.9,0.1,"Usman Garuba","2021",23
"51","2021-22",20,"HOU","NBA","SG",74,1334,12.2,0.534,0.378,0.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,-0.4,0.7,0.3,0.01,-2.2,-1.3,-3.5,-0.5,"Josh Christopher","2021",24
"52","Career",NA,"","NBA","",74,1334,12.2,0.534,0.378,0.226,4.3,11.1,7.7,17.3,2.3,0.9,17.2,21.1,-0.4,0.7,0.3,0.01,-2.2,-1.3,-3.5,-0.5,"Josh Christopher","2021",24
"53","2021-22",21,"NYK","NBA","SG",46,786,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3,"Quentin Grimes","2021",25
"54","Career",NA,"","NBA","",46,786,10.7,0.565,0.804,0.081,3.2,9.8,6.4,8.5,2,1.4,10.3,15.1,0.6,0.9,1.4,0.087,-1.2,0.9,-0.3,0.3,"Quentin Grimes","2021",25
"55","2021-22",21,"DEN","NBA","SG",69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5,"Bones Hyland","2021",26
"56","Career",NA,"","NBA","",69,1310,14.4,0.558,0.627,0.219,1.2,14.4,8,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5,"Bones Hyland","2021",26
"57","2021-22",20,"BRK","NBA","SG",67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,0,0.8,0.8,0.033,-2,-1.4,-3.4,-0.4,"Cam Thomas","2021",27
"58","Career",NA,"","NBA","",67,1176,11.7,0.519,0.346,0.209,1.5,13.1,7.5,9.7,1.4,0.6,9.1,22.1,0,0.8,0.8,0.033,-2,-1.4,-3.4,-0.4,"Cam Thomas","2021",27
"59","2021-22",19,"PHI","NBA","SG",2,6,26.4,1,0,0,18.9,18.3,18.6,0,0,30,50,15,0,0,0,0.138,8.3,8.7,17.1,0,"Jaden Springer","2021",28
"60","Career",NA,"","NBA","",2,6,26.4,1,0,0,18.9,18.3,18.6,0,0,30,50,15,0,0,0,0.138,8.3,8.7,17.1,0,"Jaden Springer","2021",28
"61","2021-22",20,"BRK","NBA","PF",32,391,20.7,0.593,0.047,0.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,0.8,0.5,1.2,0.152,-0.3,-2.5,-2.8,-0.1,"Day'Ron Sharpe","2021",29
"62","Career",NA,"","NBA","",32,391,20.7,0.593,0.047,0.275,23.2,21.4,22.3,6.7,1.2,3.4,15.2,21.7,0.8,0.5,1.2,0.152,-0.3,-2.5,-2.8,-0.1,"Day'Ron Sharpe","2021",29
"63","2021-22",21,"MEM","NBA","PF",32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,0.044,-4.2,-1.5,-5.7,-0.3,"Santi Aldama","2021",30
"64","Career",NA,"","NBA","",32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,0.044,-4.2,-1.5,-5.7,-0.3,"Santi Aldama","2021",30
"65","2021-22",20,"WAS","NBA","PF",12,74,4.7,0.349,0.615,0.231,4.6,13.3,9,7.3,2.7,2.3,12.3,19.6,-0.2,0.1,-0.2,-0.104,-5.7,-1.2,-6.9,-0.1,"Isaiah Todd","2021",31
"66","Career",NA,"","NBA","",12,74,4.7,0.349,0.615,0.231,4.6,13.3,9,7.3,2.7,2.3,12.3,19.6,-0.2,0.1,-0.2,-0.104,-5.7,-1.2,-6.9,-0.1,"Isaiah Todd","2021",31
"67","2021-22",21,"OKC","NBA","C",49,1087,11.7,0.526,0.509,0.167,7,19.1,13,6.7,1.3,1.3,10.1,15.4,0.4,1,1.5,0.065,-1.9,-0.4,-2.2,-0.1,"Jeremiah Robinson-Earl","2021",32
"68","Career",NA,"","NBA","",49,1087,11.7,0.526,0.509,0.167,7,19.1,13,6.7,1.3,1.3,10.1,15.4,0.4,1,1.5,0.065,-1.9,-0.4,-2.2,-0.1,"Jeremiah Robinson-Earl","2021",32
"69","2021-22",23,"NOP","NBA","PF",78,2335,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.096,-2,1.5,-0.5,0.9,"Herbert Jones","2021",35
"70","Career",NA,"","NBA","",78,2335,12.3,0.573,0.293,0.283,4.5,9.6,7,10,2.7,2.5,13.4,13.7,2.1,2.5,4.6,0.096,-2,1.5,-0.5,0.9,"Herbert Jones","2021",35
"71","2021-22",21,"NYK","NBA","PG",40,372,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1,-4.5,-0.2,"Miles McBride","2021",36
"72","Career",NA,"","NBA","",40,372,6.1,0.393,0.63,0.111,1.1,11.2,6.1,15.9,1.9,0.3,4.2,13.9,-0.1,0.4,0.2,0.032,-5.5,1,-4.5,-0.2,"Miles McBride","2021",36
"73","2021-22",19,"CHO","NBA","PF",33,262,9.7,0.525,0.491,0.364,4.4,13.1,8.7,9.2,1.5,4,13.6,12,0.1,0.2,0.3,0.058,-3.1,0.1,-3,-0.1,"JT Thor","2021",37
"74","Career",NA,"","NBA","",33,262,9.7,0.525,0.491,0.364,4.4,13.1,8.7,9.2,1.5,4,13.6,12,0.1,0.2,0.3,0.058,-3.1,0.1,-3,-0.1,"JT Thor","2021",37
"75","2021-22",22,"CHI","NBA","SG",77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3,0.069,-1.9,-0.1,-2,0,"Ayo Dosunmu","2021",38
"76","Career",NA,"","NBA","",77,2110,11.2,0.596,0.348,0.146,1.4,9.9,5.7,16.5,1.4,1.2,15.9,14.1,1.7,1.3,3,0.069,-1.9,-0.1,-2,0,"Ayo Dosunmu","2021",38
"77","2021-22",22,"SAC","NBA","C",14,120,12.7,0.495,0,0.447,12.6,15.6,14.1,7.2,0.4,5.8,11.7,18.4,0,0.1,0.1,0.051,-4.1,-1,-5.1,-0.1,"Neemias Queta","2021",39
"78","Career",NA,"","NBA","",14,120,12.7,0.495,0,0.447,12.6,15.6,14.1,7.2,0.4,5.8,11.7,18.4,0,0.1,0.1,0.051,-4.1,-1,-5.1,-0.1,"Neemias Queta","2021",39
"79","2021-22",21,"UTA","NBA","SG",42,360,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26,2.3,2,17.3,23.1,0,0.5,0.4,0.057,-2.3,0.7,-1.6,0,"Jared Butler","2021",40
"80","Career",NA,"","NBA","",42,360,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26,2.3,2,17.3,23.1,0,0.5,0.4,0.057,-2.3,0.7,-1.6,0,"Jared Butler","2021",40
"81","2021-22",22,"SAS","NBA","SG",29,205,7.1,0.494,0.768,0.232,2,5.2,3.6,5.5,0.9,1.2,3.1,13.1,0.1,0.1,0.1,0.035,-2.9,-1.1,-3.9,-0.1,"Joe Wieskamp","2021",41
"82","Career",NA,"","NBA","",29,205,7.1,0.494,0.768,0.232,2,5.2,3.6,5.5,0.9,1.2,3.1,13.1,0.1,0.1,0.1,0.035,-2.9,-1.1,-3.9,-0.1,"Joe Wieskamp","2021",41
"83","2021-22",23,"DET","NBA","SF",19,383,11.1,0.629,0.711,0.156,4,12.5,8,8,1.7,1.6,13.5,12.4,0.4,0.3,0.7,0.085,-1.3,-0.2,-1.5,0,"Isaiah Livers","2021",42
"84","Career",NA,"","NBA","",19,383,11.1,0.629,0.711,0.156,4,12.5,8,8,1.7,1.6,13.5,12.4,0.4,0.3,0.7,0.085,-1.3,-0.2,-1.5,0,"Isaiah Livers","2021",42
"85","2021-22",20,"POR","NBA","SF",48,640,11,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2,3.7,14.1,17.2,-0.1,0.5,0.4,0.029,-4,-0.7,-4.7,-0.4,"Greg Brown III","2021",43
"86","Career",NA,"","NBA","",48,640,11,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2,3.7,14.1,17.2,-0.1,0.5,0.4,0.029,-4,-0.7,-4.7,-0.4,"Greg Brown III","2021",43
"87","2021-22",21,"BRK","NBA","SF",48,987,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5,"Kessler Edwards","2021",44
"88","Career",NA,"","NBA","",48,987,8.3,0.516,0.509,0.071,5,13.8,9.5,4.1,1.4,2.2,13.2,13.8,-0.2,0.9,0.6,0.031,-3.1,-0.8,-3.8,-0.5,"Kessler Edwards","2021",44
"89","2021-22",22,"TOR","NBA","PG",64,696,10,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2,1.4,19.3,16.9,-0.4,0.8,0.4,0.03,-3.5,0.4,-3.1,-0.2,"Dalano Banton","2021",46
"90","Career",NA,"","NBA","",64,696,10,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2,1.4,19.3,16.9,-0.4,0.8,0.4,0.03,-3.5,0.4,-3.1,-0.2,"Dalano Banton","2021",46
"91","2021-22",20,"TOR","NBA","SG",2,2,-20,0,1,0,0,0,0,0,0,0,0,21.4,0,0,0,-0.495,-19,-8.7,-27.7,0,"David Johnson","2021",47
"92","Career",NA,"","NBA","",2,2,-20,0,1,0,0,0,0,0,0,0,0,21.4,0,0,0,-0.495,-19,-8.7,-27.7,0,"David Johnson","2021",47
"93","2021-22",20,"ATL","NBA","PG",13,39,-5.4,0.25,0.429,0,0,14,7,16.3,0,0,26.3,21.3,-0.2,0,-0.2,-0.297,-11.3,-5,-16.3,-0.1,"Sharife Cooper","2021",48
"94","Career",NA,"","NBA","",13,39,-5.4,0.25,0.429,0,0,14,7,16.3,0,0,26.3,21.3,-0.2,0,-0.2,-0.297,-11.3,-5,-16.3,-0.1,"Sharife Cooper","2021",48
"95","2021-22",20,"LAC","NBA","SG",51,760,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8,22.4,-0.5,0.9,0.4,0.026,-3,-0.4,-3.3,-0.3,"Brandon Boston Jr.","2021",51
"96","Career",NA,"","NBA","",51,760,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8,22.4,-0.5,0.9,0.4,0.026,-3,-0.4,-3.3,-0.3,"Brandon Boston Jr.","2021",51
"97","2021-22",23,"DET","NBA","C",32,389,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,0.5,0.2,0.8,0.093,-0.5,-2,-2.5,-0.1,"Luka Garza","2021",52
"98","Career",NA,"","NBA","",32,389,15.6,0.535,0.333,0.415,15.3,12.3,13.9,8.3,1.1,1.4,9.4,21.1,0.5,0.2,0.8,0.093,-0.5,-2,-2.5,-0.1,"Luka Garza","2021",52
"99","2021-22",21,"PHI","NBA","C",23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,0.4,0.3,0.8,0.22,-0.4,2.1,1.7,0.2,"Charles Bassey","2021",53
"100","Career",NA,"","NBA","",23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,0.4,0.3,0.8,0.22,-0.4,2.1,1.7,0.2,"Charles Bassey","2021",53
"101","2021-22",22,"MIL","NBA","PF",41,407,14.7,0.618,0.452,0.191,9.3,12,10.7,7.4,1.1,2.1,10.7,14.6,0.8,0.3,1.1,0.135,0.6,-1,-0.3,0.2,"Sandro Mamukelashvili","2021",54
"102","Career",NA,"","NBA","",41,407,14.7,0.618,0.452,0.191,9.3,12,10.7,7.4,1.1,2.1,10.7,14.6,0.8,0.3,1.1,0.135,0.6,-1,-0.3,0.2,"Sandro Mamukelashvili","2021",54
"103","2021-22",23,"OKC","NBA","SG",50,1209,10.3,0.556,0.409,0.252,4.3,11,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,"Aaron Wiggins","2021",55
"104","Career",NA,"","NBA","",50,1209,10.3,0.556,0.409,0.252,4.3,11,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,"Aaron Wiggins","2021",55
"105","2021-22",21,"CHO","NBA","SG",2,7,14.6,0.568,NA,NA,0,0,0,16.2,6.9,0,0,5.3,0,0,0,0.164,0,5.9,6,0,"Scottie Lewis","2021",56
"106","Career",NA,"","NBA","",2,7,14.6,0.568,NA,NA,0,0,0,16.2,6.9,0,0,5.3,0,0,0,0.164,0,5.9,6,0,"Scottie Lewis","2021",56
"107","2021-22",23,"NYK","NBA","PF",41,555,11.6,0.674,0,0.537,11.6,21.3,16.4,5.3,1,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0,"Jericho Sims","2021",58
"108","Career",NA,"","NBA","",41,555,11.6,0.674,0,0.537,11.6,21.3,16.4,5.3,1,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0,"Jericho Sims","2021",58
"109","2021-22",23,"TOT","NBA","SF",13,214,8.6,0.536,0.388,0.448,3,7.3,5.1,8.8,2.5,0.9,20,20.2,-0.3,0.2,-0.1,-0.024,-5.1,-1.9,-7,-0.3,"Georgios Kalaitzakis","2021",60
"110","2021-22",23,"MIL","NBA","SF",9,48,5.8,0.535,0.364,0.818,9,8.7,8.8,0,1,2,21.1,16.9,0,0,0,-0.01,-5.8,-2.1,-7.9,-0.1,"Georgios Kalaitzakis","2021",60
"111","2021-22",23,"OKC","NBA","SF",4,166,9.4,0.536,0.393,0.375,1.2,6.9,4,11.4,2.9,0.6,19.7,21.1,-0.2,0.2,-0.1,-0.028,-4.9,-1.9,-6.8,-0.2,"Georgios Kalaitzakis","2021",60
"112","Career",NA,"","NBA","",13,214,8.6,0.536,0.388,0.448,3,7.3,5.1,8.8,2.5,0.9,20,20.2,-0.3,0.2,-0.1,-0.024,-5.1,-1.9,-7,-0.3,"Georgios Kalaitzakis","2021",60
"113","1 season",NA,"MIL","NBA","",9,48,5.8,0.535,0.364,0.818,9,8.7,8.8,0,1,2,21.1,16.9,0,0,0,-0.01,-5.8,-2.1,-7.9,-0.1,"Georgios Kalaitzakis","2021",60
"114","1 season",NA,"OKC","NBA","",4,166,9.4,0.536,0.393,0.375,1.2,6.9,4,11.4,2.9,0.6,19.7,21.1,-0.2,0.2,-0.1,-0.028,-4.9,-1.9,-6.8,-0.2,"Georgios Kalaitzakis","2021",60
"115","2020-21",19,"MIN","NBA","SG",72,2314,13.9,0.523,0.429,0.225,2.7,13.5,7.9,14.6,1.7,1.3,10.7,27,-0.6,1.4,0.8,0.017,-0.4,-1.7,-2.1,-0.1,"Anthony Edwards","2020",1
"116","2021-22",20,"MIN","NBA","SG",72,2466,16.5,0.56,0.484,0.225,2.6,12.5,7.5,17.4,2,1.8,12.2,26.4,1.8,2.4,4.3,0.084,1.6,-0.4,1.2,2,"Anthony Edwards","2020",1
"117","Career",NA,"","NBA","",144,4780,15.2,0.542,0.457,0.225,2.6,13,7.7,16.1,1.9,1.6,11.5,26.7,1.3,3.8,5.1,0.051,0.6,-1,-0.4,1.9,"Anthony Edwards","2020",1
"118","2020-21",19,"GSW","NBA","C",39,836,13.1,0.552,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,-0.4,1.2,0.7,0.042,-4,-1,-5,-0.6,"James Wiseman","2020",2
